month,type,n
2025-01-01,Accessories,47
2025-01-01,Collared Shirts,29
2025-01-01,Dresses,32
2025-01-01,Outerwear,20
2025-01-01,Pants,45
2025-01-01,Shoes,24
2025-01-01,Shorts,8
2025-01-01,Skirts,20
2025-01-01,Sweaters,57
2025-01-01,Tops,102
2025-02-01,Accessories,30
2025-02-01,Collared Shirts,34
2025-02-01,Dresses,35
2025-02-01,Outerwear,20
2025-02-01,Pants,73
2025-02-01,Shoes,12
2025-02-01,Shorts,16
2025-02-01,Skirts,27
2025-02-01,Sweaters,75
2025-02-01,Tops,147
2025-03-01,Accessories,13
2025-03-01,Collared Shirts,28
2025-03-01,Dresses,22
2025-03-01,Outerwear,15
2025-03-01,Pants,38
2025-03-01,Shoes,8
2025-03-01,Shorts,10
2025-03-01,Skirts,13
2025-03-01,Sweaters,27
2025-03-01,Tops,67
2025-04-01,Accessories,24
2025-04-01,Collared Shirts,34
2025-04-01,Dresses,43
2025-04-01,Outerwear,18
2025-04-01,Pants,58
2025-04-01,Shoes,12
2025-04-01,Shorts,18
2025-04-01,Skirts,19
2025-04-01,Sweaters,34
2025-04-01,Tops,113
2025-05-01,Accessories,11
2025-05-01,Collared Shirts,11
2025-05-01,Dresses,19
2025-05-01,Outerwear,8
2025-05-01,Pants,26
2025-05-01,Shoes,4
2025-05-01,Shorts,7
2025-05-01,Skirts,7
2025-05-01,Sweaters,7
2025-05-01,Tops,71
2025-06-01,Accessories,10
2025-06-01,Collared Shirts,2
2025-06-01,Dresses,5
2025-06-01,Outerwear,2
2025-06-01,Pants,9
2025-06-01,Shoes,5
2025-06-01,Shorts,1
2025-06-01,Skirts,0
2025-06-01,Sweaters,2
2025-06-01,Tops,24
2025-07-01,Accessories,9
2025-07-01,Collared Shirts,18
2025-07-01,Dresses,11
2025-07-01,Outerwear,9
2025-07-01,Pants,22
2025-07-01,Shoes,6
2025-07-01,Shorts,4
2025-07-01,Skirts,8
2025-07-01,Sweaters,13
2025-07-01,Tops,72
2025-08-01,Accessories,16
2025-08-01,Collared Shirts,12
2025-08-01,Dresses,23
2025-08-01,Outerwear,17
2025-08-01,Pants,41
2025-08-01,Shoes,8
2025-08-01,Shorts,16
2025-08-01,Skirts,16
2025-08-01,Sweaters,38
2025-08-01,Tops,106
2025-09-01,Accessories,24
2025-09-01,Collared Shirts,52
2025-09-01,Dresses,40
2025-09-01,Outerwear,26
2025-09-01,Pants,88
2025-09-01,Shoes,13
2025-09-01,Shorts,27
2025-09-01,Skirts,27
2025-09-01,Sweaters,89
2025-09-01,Tops,188
